c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	rass_name1	rass_name2	rass_ra	rass_dec	rass_pos_err	rass_l	rass_b	rass_ML	rass_counts	rass_counts_err	rass_count_rate	rass_count_rate_err	rass_exp_time	rass_hardness_ratio	rass_HR2	rass_HR3	rass_HR4
1	0.78	33.1	0.1616	0.0423	5.5273	3.64E-13	7.88E-14	2.25E-12	3.33E-13	0.2485	0.0651	4.7843	3.89E-14	8.41E-15	1.56E-13	2.31E-14	301.084372	-55.73932	4.62	3321	27.3	34.8	2210.3	2183.3	0.84	4.61	2RXS	J200420.1-554348	301.08386	-55.73013	10.58	-32.24558	-34.49807	96.52	52.98	7.819314	0.2779	0.041	190.64	-0.926	0.06	1	0.963
1	0.77	33.2	1.121	0.4284	0.3065	1.70E-13	3.31E-14	1.51E-13	4.97E-14	0	0	0	0	0	0	0	62.114564	-55.714109	5.12	7030	40.9	48.6	5684.4	5681.3	27.07	2.08	2RXS	J040830.2-554314	62.1262	-55.72061	13.65	-44.73862	-72.97218	13.71	15.53	5.101243	0.0287	0.0094	540.46	0.373	0.286	0.353	0.23
1	1.4	62.8	2.0118	0.8099	1.8135	6.49E-13	1.44E-13	3.23E-13	1.09E-13	0	0	0	0	0	0	0	103.919599	-55.702824	4.52	9961	24.3	30.9	1171.2	1065.2	28.35	6.5	2RXS	J065533.8-554235	103.89119	-55.70973	17.88	-21.57383	-77.30818	11.71	16.23	5.459241	0.0351	0.0118	462.39	0.24	0.201	0.132	0.225
1	0.17	13	0.5977	0.2872	1.053	7.79E-14	2.83E-14	1.30E-13	4.10E-14	0	0	0	0	0	0	0	73.906638	-55.697355	2.75	7456	15.3	9.5	4821.3	5298.1	20.41	2.36	2RXS	J045538.6-554140	73.91094	-55.69467	15.64	-38.27579	-76.72762	10.01	21.92	6.886643	0.0229	0.0072	956.78	-0.822	0.669	-1	2.609
1	1.64	71.5	1.8746	0.9089	1.431	1.64E-13	3.86E-14	8.77E-14	3.72E-14	0	0	0	0	0	0	0	97.09235	-55.692216	4.26	6064	31.6	36.1	6128.1	5738.2	29.8	7.67	2RXS	J062819.1-554025	97.07992	-55.67363	14.52	-25.28399	-78.60576	6.84	11.71	4.967391	0.0091	0.0039	1284.67	9.999	9.999	9.999	9.999
1	0.89	49	0.7854	0.3523	0.5296	1.07E-13	3.33E-14	1.36E-13	4.41E-14	0	0	0	0	0	0	0	95.578945	-55.674175	3.22	6064	20.4	23.5	5940.9	5436.3	37.21	6.35	2RXS	J062213.8-554050	95.55779	-55.68072	14.18	-26.12756	-78.8045	12.4	19.71	6.378317	0.0149	0.0048	1319.25	0.497	0.214	0.658	0.185
1	0.77	41.4	0.7568	0.3134	0.6681	1.07E-13	3.24E-14	1.42E-13	4.01E-14	0	0	0	0	0	0	0	95.957724	-55.660431	3.31	6064	22.9	22.8	6707	6758.7	26.82	6.65	2RXS	J062353.8-554001	95.97449	-55.66697	8.67	-25.8941	-78.74281	20.93	20.46	5.796745	0.0153	0.0043	1337.62	0	0	0	0
1	1.64	68.6	1.1418	0.4461	0.3485	1.41E-13	2.91E-14	1.23E-13	4.09E-14	0	0	0	0	0	0	0	96.60499	-55.566848	4.84	6064	42	53.9	9466.6	9373.2	14.69	7.31	2RXS	J062630.5-553452	96.62712	-55.58122	8.81	-25.516	-78.5774	16.01	17.59	5.832505	0.013	0.0043	1356.01	-0.373	0.21	0.39	0.423
1	0.56	17	0.6145	0.1091	3.2163	1.21E-12	2.01E-13	1.96E-12	1.23E-13	0.8318	0.1477	1.108	7.05E-13	1.17E-13	8.48E-13	5.32E-14	47.945618	-55.544929	6.02	6465	39.5	44.2	842.7	854.8	19.35	2.75	2RXS	J031148.7-553234	47.95307	-55.54282	3.62	-51.99788	-67.46368	556.35	296.69	18.634016	0.3152	0.0198	941.28	-0.48	0.044	0.168	0.098
1	1.42	104.5	0.5979	0.3092	0.975	6.41E-14	2.50E-14	1.07E-13	3.65E-14	0	0	0	0	0	0	0	95.978465	-55.482816	2.57	6064	17.6	10.2	8635.9	8464.5	19.69	6.8	2RXS	J062349.9-552722	95.95826	-55.45614	9.99	-25.86333	-78.53861	13.32	15.03	5.118951	0.0115	0.0039	1305.41	0.633	0.355	0.748	0.276
