c1,normalized_offset,ets_rass_offset,flux_ratio,f_err,std_dev_diff,flux_ets,flux_ets_err,flux_rass,flux_rass_err,c11,c12,c13,c14,c15,c16,c17,c18,c19,ets_snr,c21,c22,c23,c24,c25,c26,c27,rass_name1,rass_name2,rass_ra,rass_dec,rass_pos_err,rass_l,rass_b,rass_ML,rass_counts,rass_counts_err,rass_count_rate,rass_count_rate_err,rass_exp_time,rass_hardness_ratio,rass_HR2,rass_HR3,rass_HR4,usrid,separation,name,ra,dec,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,csc_ra_deg,csc_dec_deg,flux_csc
1,1.32,55.9,0.924,0.2898,0.2453,4.24e-13,5.44e-14,4.59e-13,1.31e-13,0.0,0,0,0.0,0,0,0,53.410729,-36.146324,7.79,3059,73.5,97.7,3596.6,3386.7,1.13,1.42,2RXS,J033333.9-360851,53.39155,-36.14761,29.77,-54.60561,-53.03793,12.58,17.38,4.973483,0.1105,0.0316,157.28,0.22,0.23,0.222,0.251,226,22.8, 2CXO J033332.3-360902, 03 33 32.34,-36 09 02.68,3.621e-15,3.009e-15,4.193e-15,1.485e-15,1.144e-15,1.806e-15,53.38474999999999,-36.15074444444444,5.1060000000000005e-15
1,1.32,55.9,0.924,0.2898,0.2453,4.24e-13,5.44e-14,4.59e-13,1.31e-13,0.0,0,0,0.0,0,0,0,53.410729,-36.146324,7.79,3059,73.5,97.7,3596.6,3386.7,1.13,1.42,2RXS,J033333.9-360851,53.39155,-36.14761,29.77,-54.60561,-53.03793,12.58,17.38,4.973483,0.1105,0.0316,157.28,0.22,0.23,0.222,0.251,226,35.42, 2CXO J033336.3-360830, 03 33 36.32,-36 08 30.30,2.171e-15,1.513e-15,2.796e-15,2.246e-15,1.404e-15,3.088e-15,53.401333333333326,-36.14175,4.417e-15
1,1.32,55.9,0.924,0.2898,0.2453,4.24e-13,5.44e-14,4.59e-13,1.31e-13,0.0,0,0,0.0,0,0,0,53.410729,-36.146324,7.79,3059,73.5,97.7,3596.6,3386.7,1.13,1.42,2RXS,J033333.9-360851,53.39155,-36.14761,29.77,-54.60561,-53.03793,12.58,17.38,4.973483,0.1105,0.0316,157.28,0.22,0.23,0.222,0.251,226,38.23, 2CXO J033331.1-360833, 03 33 31.18,-36 08 33.63,5.988e-16,3.080e-16,8.726e-16,5.469e-16,3.038e-16,7.778e-16,53.37991666666666,-36.142675,1.1457e-15
1,1.32,55.9,0.924,0.2898,0.2453,4.24e-13,5.44e-14,4.59e-13,1.31e-13,0.0,0,0,0.0,0,0,0,53.410729,-36.146324,7.79,3059,73.5,97.7,3596.6,3386.7,1.13,1.42,2RXS,J033333.9-360851,53.39155,-36.14761,29.77,-54.60561,-53.03793,12.58,17.38,4.973483,0.1105,0.0316,157.28,0.22,0.23,0.222,0.251,226,38.69, 2CXO J033331.5-360916, 03 33 31.52,-36 09 16.22,5.923e-16,2.081e-16,9.605e-16,4.795e-16,1.984e-16,7.606e-16,53.38133333333332,-36.15450555555555,1.0718e-15
1,1.32,55.9,0.924,0.2898,0.2453,4.24e-13,5.44e-14,4.59e-13,1.31e-13,0.0,0,0,0.0,0,0,0,53.410729,-36.146324,7.79,3059,73.5,97.7,3596.6,3386.7,1.13,1.42,2RXS,J033333.9-360851,53.39155,-36.14761,29.77,-54.60561,-53.03793,12.58,17.38,4.973483,0.1105,0.0316,157.28,0.22,0.23,0.222,0.251,226,38.87, 2CXO J033336.3-360825, 03 33 36.36,-36 08 25.46,4.553e-14,4.134e-14,4.972e-14,4.331e-14,3.933e-14,4.730e-14,53.40149999999999,-36.14040555555555,8.884e-14
1,1.32,55.9,0.924,0.2898,0.2453,4.24e-13,5.44e-14,4.59e-13,1.31e-13,0.0,0,0,0.0,0,0,0,53.410729,-36.146324,7.79,3059,73.5,97.7,3596.6,3386.7,1.13,1.42,2RXS,J033333.9-360851,53.39155,-36.14761,29.77,-54.60561,-53.03793,12.58,17.38,4.973483,0.1105,0.0316,157.28,0.22,0.23,0.222,0.251,226,39.58, 2CXO J033336.0-360820, 03 33 36.01,-36 08 20.43,4.050e-15,3.258e-15,4.841e-15,5.824e-15,4.915e-15,6.733e-15,53.40004166666666,-36.13900833333333,9.873999999999999e-15
1,1.32,55.9,0.924,0.2898,0.2453,4.24e-13,5.44e-14,4.59e-13,1.31e-13,0.0,0,0,0.0,0,0,0,53.410729,-36.146324,7.79,3059,73.5,97.7,3596.6,3386.7,1.13,1.42,2RXS,J033333.9-360851,53.39155,-36.14761,29.77,-54.60561,-53.03793,12.58,17.38,4.973483,0.1105,0.0316,157.28,0.22,0.23,0.222,0.251,226,44.18, 2CXO J033334.0-360807, 03 33 34.01,-36 08 07.22,7.363e-16,4.150e-16,1.044e-15,5.692e-16,3.222e-16,8.163e-16,53.39170833333333,-36.13533888888889,1.3055e-15
1,1.32,55.9,0.924,0.2898,0.2453,4.24e-13,5.44e-14,4.59e-13,1.31e-13,0.0,0,0,0.0,0,0,0,53.410729,-36.146324,7.79,3059,73.5,97.7,3596.6,3386.7,1.13,1.42,2RXS,J033333.9-360851,53.39155,-36.14761,29.77,-54.60561,-53.03793,12.58,17.38,4.973483,0.1105,0.0316,157.28,0.22,0.23,0.222,0.251,226,44.8, 2CXO J033333.3-360807, 03 33 33.35,-36 08 07.23,1.341e-16,3.833e-17,2.261e-16,8.402e-17,3.361e-18,1.647e-16,53.38895833333333,-36.13534166666667,2.1811999999999998e-16
1,1.32,55.9,0.924,0.2898,0.2453,4.24e-13,5.44e-14,4.59e-13,1.31e-13,0.0,0,0,0.0,0,0,0,53.410729,-36.146324,7.79,3059,73.5,97.7,3596.6,3386.7,1.13,1.42,2RXS,J033333.9-360851,53.39155,-36.14761,29.77,-54.60561,-53.03793,12.58,17.38,4.973483,0.1105,0.0316,157.28,0.22,0.23,0.222,0.251,226,45.82, 2CXO J033334.6-360936, 03 33 34.61,-36 09 36.55,8.948e-14,8.368e-14,9.528e-14,6.754e-14,6.278e-14,7.201e-14,53.394208333333324,-36.160152777777775,1.5702e-13
1,1.32,55.9,0.924,0.2898,0.2453,4.24e-13,5.44e-14,4.59e-13,1.31e-13,0.0,0,0,0.0,0,0,0,53.410729,-36.146324,7.79,3059,73.5,97.7,3596.6,3386.7,1.13,1.42,2RXS,J033333.9-360851,53.39155,-36.14761,29.77,-54.60561,-53.03793,12.58,17.38,4.973483,0.1105,0.0316,157.28,0.22,0.23,0.222,0.251,226,51.57, 2CXO J033331.5-360808, 03 33 31.59,-36 08 08.69,5.158e-15,4.521e-15,5.745e-15,4.739e-15,4.198e-15,5.279e-15,53.38162499999999,-36.13574722222222,9.897e-15
